responses,offer_discount,offer_quality,offer_reach
4151.0,26.0,10.257680190454439,31344.0
3397.0,35.0,15.194379645850159,24016.0
3274.0,21.0,13.971468376460841,28832.0
3426.0,27.0,6.054338098808626,26747.0
5745.0,42.0,16.80136546351504,46968.0
5619.0,30.0,7.918997059002768,12413.0
3135.0,37.0,10.244309988593683,25436.0
4466.0,32.0,15.232037317453063,33494.0
4579.0,30.0,12.304583951171056,34066.0
4927.0,16.0,10.719936819780322,47976.0
3284.0,11.0,11.218409016668424,40007.0
5893.0,31.0,18.51146945100862,32563.0
4666.0,28.0,10.626024054867823,40702.0
6469.0,54.0,16.995556195461464,31192.0
2103.0,0.0,17.28515008924504,27076.0
6033.0,35.0,13.785880786667772,32255.0
5290.0,29.0,16.922629350289426,33842.0
4486.0,32.0,13.346848099663742,45117.0
5047.0,27.0,11.080529540942488,25062.0
3660.0,46.0,12.25183998009625,23103.0
5628.0,45.0,11.21606730223509,39690.0
4370.0,22.0,13.235880489347077,35107.0
1639.0,18.0,10.518066353367846,25996.0
4959.0,36.0,10.570143132255243,29244.0
6765.0,48.0,12.500230426064514,50341.0
5709.0,44.0,18.832964443169868,47203.0
4852.0,26.0,9.982394964922216,39870.0
4055.0,27.0,11.158945054541295,35590.0
5186.0,43.0,10.282790073838315,41975.0
3425.0,31.0,17.714528049697027,32482.0
5012.0,36.0,15.964955909791477,29174.0
5265.0,42.0,10.020967971354526,38830.0
3398.0,32.0,12.93352312749838,35045.0
3955.0,30.0,10.879345650384213,46612.0
4803.0,23.0,16.225344895656974,38956.0
4516.0,51.0,12.038308097232795,23717.0
4040.0,42.0,19.494889480504437,13634.0
3779.0,20.0,12.034028085390743,26502.0
4979.0,39.0,12.19415209893958,36378.0
6725.0,34.0,8.136052802129177,60662.0
4222.0,24.0,7.55523900458857,44853.0
2428.0,19.0,13.209238718546676,34915.0
4430.0,26.0,11.513903169811122,30538.0
3169.0,31.0,13.266370631446211,25551.0
5821.0,52.0,16.457424060417846,44043.0
2686.0,24.0,16.15988329614392,31180.0
4376.0,20.0,8.246260248427275,42116.0
4905.0,44.0,17.833705818477778,25720.0
4614.0,32.0,13.898045998304516,20472.0
3186.0,25.0,16.654444586912,29817.0
4227.0,19.0,13.513101623839471,35258.0
3843.0,30.0,15.741825038551948,36272.0
4168.0,31.0,8.1459528600344,16125.0
4393.0,46.0,8.55661304730823,31874.0
4345.0,40.0,4.25245427443408,28203.0
2151.0,32.0,11.309345550979186,19750.0
4658.0,16.0,12.506505353012711,46833.0
3092.0,27.0,17.824996639361462,24724.0
6270.0,46.0,15.709980329782052,38913.0
4731.0,21.0,16.176522158151652,36093.0
3306.0,23.0,10.994283502163464,40339.0
2265.0,22.0,17.195183238313778,34474.0
5764.0,40.0,12.771558920471339,40112.0
2928.0,33.0,15.876611833360423,29523.0
3603.0,22.0,15.299323285945528,34621.0
4391.0,31.0,8.781807666445967,28004.0
2775.0,27.0,14.87573962315572,28810.0
3726.0,21.0,9.30852746802984,45892.0
3928.0,16.0,13.885306220810541,31080.0
5048.0,36.0,15.947425749148444,41835.0
5803.0,45.0,22.3191720408032,56988.0
5224.0,36.0,17.63130611492678,35589.0
7847.0,36.0,20.14852547172672,38289.0
3273.0,39.0,11.686811650218502,11881.0
3955.0,26.0,8.247146290557422,21363.0
4768.0,25.0,8.725066033712114,31158.0
2073.0,18.0,15.328596605917461,25732.0
4999.0,29.0,11.644600720173312,34368.0
5408.0,39.0,13.218291547298431,46310.0
2328.0,35.0,11.133731654897685,18554.0
5191.0,27.0,17.89773792109824,40076.0
2579.0,29.0,16.215920443256906,34580.0
5696.0,36.0,16.559721301641154,42641.0
5472.0,28.0,14.225260000867518,41258.0
3402.0,25.0,18.562750272149962,34729.0
3357.0,27.0,10.50254365145122,39645.0
3126.0,17.0,9.768370492693956,33026.0
2311.0,16.0,13.702528828383187,27520.0
4485.0,44.0,18.394651862010598,41063.0
5219.0,11.0,17.636664576147393,45841.0
4437.0,45.0,12.355700473199523,28573.0
3345.0,43.0,12.261011399722195,22809.0
4528.0,33.0,14.02530670782232,30174.0
4376.0,39.0,11.448128890827032,37788.0
4758.0,27.0,15.8409346218874,27283.0
5136.0,38.0,10.686678948043781,35181.0
7129.0,47.0,15.92984620386571,37757.0
4751.0,31.0,19.503609421737565,18239.0
2541.0,19.0,15.410837455067586,50810.0
2831.0,46.0,14.384374046107286,26069.0
4573.0,36.0,12.923552678492046,34550.0
3374.0,31.0,11.397453018278823,56144.0
7163.0,42.0,10.583335241722429,39622.0
4772.0,28.0,8.42200930216643,33348.0
997.0,14.0,8.168698711575214,20109.0
2811.0,30.0,16.077546541440867,34120.0
7606.0,39.0,13.459745004684985,57468.0
2930.0,34.0,16.604547917965053,13701.0
6428.0,27.0,15.005373189394822,38235.0
2729.0,26.0,5.604500491178891,32713.0
5527.0,30.0,8.972462691732165,35841.0
4706.0,39.0,10.68290478000719,33813.0
1155.0,22.0,12.42791758045821,15443.0
5963.0,31.0,9.830683706379949,46460.0
4079.0,13.0,13.246717212607358,30048.0
2170.0,32.0,12.016055137672758,21342.0
3300.0,19.0,10.999077090130541,22027.0
5641.0,41.0,12.939514875614268,26754.0
5744.0,34.0,7.909848100181538,37674.0
2953.0,22.0,11.19065009490784,28672.0
2768.0,26.0,18.272432859061,30817.0
3175.0,48.0,11.288149612284215,20381.0
5698.0,38.0,8.80793519997235,35622.0
4302.0,29.0,14.608415842556013,34187.0
5869.0,29.0,12.959266630317261,38813.0
1764.0,7.0,13.598745967677594,35386.0
7307.0,63.0,13.61061794444235,41727.0
3509.0,31.0,13.565914662462104,34167.0
4135.0,42.0,16.443271089173557,22128.0
3331.0,11.0,7.478904833401868,37521.0
5520.0,34.0,14.347807026841712,36669.0
5326.0,32.0,11.370632538127957,41852.0
4370.0,29.0,15.07705466012533,25207.0
4892.0,21.0,13.475256638186641,35636.0
1640.0,29.0,15.770630350158243,18825.0
4697.0,33.0,6.953742084222344,42255.0
