age,education
27.0072187412,college
47.615408975600005,highschool
51.382815347299996,highschool
54.9066215628,highschool
27.7199392103,less_than_highschool
48.2811118735,less_than_highschool
46.790833653199996,highschool
46.572487047799996,less_than_highschool
50.208060905299995,college
55.4969448171,highschool
54.360282248999994,highschool
49.2774923474,highschool
23.891915587899998,less_than_highschool
49.96033377569999,less_than_highschool
49.4293039058,highschool
33.884499419099996,college
43.752308550500004,highschool
39.5515859035,college
50.885181056499995,less_than_highschool
45.9925624287,highschool
46.264169508900004,highschool
45.591757482,highschool
47.7461998967,less_than_highschool
33.3828076758,college
49.736256935200004,highschool
28.9778432627,college
47.8059325678,less_than_highschool
57.943891710100004,less_than_highschool
52.8089502121,less_than_highschool
34.3422271787,college
42.307154913000005,college
46.894473207,highschool
57.296311404399994,college
52.2660443297,highschool
25.759429825,less_than_highschool
51.467536541499996,highschool
30.9016844429,college
48.095552363100005,highschool
54.513392510600006,less_than_highschool
54.7518814588,highschool
53.8020918644,highschool
29.0777491981,college
47.7974430602,highschool
28.224448111399997,college
50.9601802121,highschool
49.8341233525,college
48.752449498199994,less_than_highschool
53.311088907,less_than_highschool
50.4439996576,highschool
50.3272992661,less_than_highschool
26.4753432943,college
53.1871975165,college
51.3955083326,highschool
44.599613025299995,less_than_highschool
54.142437958900004,less_than_highschool
47.0332994663,highschool
59.6738542984,less_than_highschool
21.5102042205,college
48.0929397968,highschool
43.3934809193,less_than_highschool
58.026458518199995,less_than_highschool
24.4326271752,college
54.3539814265,highschool
55.6130608524,highschool
32.5839851956,college
36.8408324725,college
30.4177717331,college
48.0589423075,less_than_highschool
46.845424318199996,highschool
44.8198005461,highschool
40.262387518800004,college
51.578362608199996,college
46.088672684399995,highschool
34.677425535,less_than_highschool
23.864863796199998,college
53.29196122729999,highschool
52.775784531999996,less_than_highschool
23.390664757899998,college
52.902260615,college
27.395927673000003,college
46.81823977649999,highschool
56.3739357963,highschool
22.4699406492,college
54.1067078387,highschool
33.482886734000004,college
48.947050051000005,less_than_highschool
53.172792248,highschool
33.2299402589,college
50.5191294032,highschool
27.9300551879,college
62.14156217399999,highschool
33.8048933319,college
47.2139747003,less_than_highschool
58.3312328337,highschool
49.993575079799996,less_than_highschool
51.70110104760001,less_than_highschool
51.11391191,less_than_highschool
44.386649973800004,less_than_highschool
35.214150104299996,highschool
51.2387328322,highschool
23.8179040977,college
21.8910707582,college
47.1659407064,highschool
49.32599855390001,highschool
53.2970143433,less_than_highschool
52.1513291625,highschool
45.405554551099996,highschool
50.1037707199,highschool
44.324366716899995,less_than_highschool
21.613316709899998,college
37.6737681908,less_than_highschool
44.722018512700004,highschool
39.8005194816,highschool
27.7453446911,college
56.0924680787,less_than_highschool
56.148868585900004,less_than_highschool
45.0071930199,highschool
48.055638810299996,highschool
29.160394985,college
21.3571077755,college
30.903386952399998,college
44.1701608136,highschool
48.878583905,less_than_highschool
27.6201168073,college
57.5621899458,less_than_highschool
48.257319417299996,less_than_highschool
27.3901055019,college
44.6567387228,less_than_highschool
49.5248419329,less_than_highschool
50.5568346321,highschool
32.1599464452,college
47.3101522827,highschool
45.490861431599996,less_than_highschool
47.9589136342,less_than_highschool
39.7962499286,less_than_highschool
37.21502608,college
31.224889869299997,college
50.6267201282,less_than_highschool
32.5904392823,college
54.4157068288,college
25.9520971593,college
28.1179342148,college
25.226236544299997,college
48.7048685753,highschool
37.3506589447,college
48.0901803551,less_than_highschool
50.0743405721,highschool
48.2434385305,highschool
23.6085169026,college
51.9977391837,college
30.113484907600004,college
54.7842246388,college
57.9063932924,less_than_highschool
28.0132374493,college
52.5804037905,highschool
27.4475432979,college
27.500344156300002,college
46.8959032524,highschool
50.390627782299994,college
45.303960449799995,highschool
56.3218192616,college
32.8068362845,college
31.025476149499998,less_than_highschool
54.4598263519,less_than_highschool
51.3200552539,less_than_highschool
52.5123908303,highschool
51.676896702600004,highschool
48.9034488016,less_than_highschool
39.026904064499995,college
50.775621167,highschool
47.661517319,less_than_highschool
39.516017792,highschool
57.2886332325,highschool
27.0926361227,college
23.468515012399997,college
55.3468816704,highschool
34.474474261,college
52.3313473291,highschool
43.1917437743,highschool
50.8930708735,highschool
53.44870675399999,highschool
44.58355315520001,highschool
55.6302846691,highschool
49.7048849741,less_than_highschool
19.9945787426,less_than_highschool
52.4097527275,highschool
54.396228824,less_than_highschool
43.1621573047,highschool
29.658099423499998,less_than_highschool
32.8972164953,college
33.7126886872,college
48.5178035026,highschool
51.1576958085,highschool
32.1759815786,college
46.8536502682,less_than_highschool
52.1209083134,highschool
52.919760834799995,less_than_highschool
22.1495461885,college
26.9104767719,college
52.0115141634,highschool
52.0020266517,less_than_highschool
19.0719335275,college
32.1989964287,less_than_highschool
33.5576371819,college
47.02888497399999,highschool
42.5782597065,less_than_highschool
51.4440050292,college
54.6925545217,less_than_highschool
19.814588694,college
48.612171885600006,less_than_highschool
43.6324524821,highschool
54.993279105,highschool
47.5390875378,less_than_highschool
46.0277058261,less_than_highschool
51.5572774643,highschool
51.710587223599994,highschool
33.2486990039,less_than_highschool
28.877377500500003,college
26.379135324499998,college
54.3401647326,less_than_highschool
